Number,FileName,Value,Digits,Length,Width,Height,Box
10760,10760.png,379,"[3, 7, 9]",3,99,39,"[30, 1, 71, 38]"
10761,10761.png,163,"[1, 6, 3]",3,85,36,"[27, 7, 58, 29]"
10762,10762.png,440,"[4, 4, 0]",3,344,98,"[214, 41, 274, 85]"
10763,10763.png,543,"[5, 4, 3]",3,167,75,"[60, 7, 153, 73]"
10764,10764.png,32,"[3, 2]",2,98,41,"[34, 6, 60, 40]"
10765,10765.png,21,"[2, 1]",2,253,122,"[85, 18, 161, 103]"
10766,10766.png,183,"[1, 8, 3]",3,222,98,"[75, 14, 148, 84]"
10767,10767.png,20,"[2, 0]",2,307,137,"[88, 11, 218, 123]"
10768,10768.png,39,"[3, 9]",2,94,39,"[32, 4, 61, 32]"
10769,10769.png,46,"[4, 6]",2,74,35,"[26, 5, 45, 32]"
10770,10770.png,5,[5],1,153,79,"[57, 10, 95, 66]"
10771,10771.png,11,"[1, 1]",2,54,23,"[21, 5, 34, 19]"
10772,10772.png,33,"[3, 3]",2,137,57,"[50, 8, 92, 52]"
10773,10773.png,38,"[3, 8]",2,130,54,"[36, 2, 93, 50]"
10774,10774.png,6,[6],1,93,47,"[41, 7, 54, 35]"
10775,10775.png,44,"[4, 4]",2,123,56,"[47, 12, 78, 45]"
10776,10776.png,71,"[7, 1]",2,116,54,"[40, 7, 74, 48]"
10777,10777.png,4,[4],1,113,50,"[48, 5, 72, 44]"
10778,10778.png,54,"[5, 4]",2,82,37,"[34, 8, 56, 29]"
10779,10779.png,82,"[8, 2]",2,103,48,"[40, 15, 62, 34]"
10780,10780.png,410,"[4, 1, 0]",3,161,72,"[60, 15, 98, 59]"
10781,10781.png,128,"[1, 2, 8]",3,111,55,"[42, 16, 67, 42]"
10782,10782.png,76,"[7, 6]",2,81,38,"[26, 4, 54, 33]"
10783,10783.png,58,"[5, 8]",2,195,81,"[71, 19, 126, 63]"
10784,10784.png,48,"[4, 8]",2,63,31,"[25, 7, 40, 28]"
10785,10785.png,37,"[3, 7]",2,127,55,"[44, 6, 85, 43]"
10786,10786.png,160,"[1, 6, 0]",3,197,77,"[73, 12, 123, 54]"
10787,10787.png,112,"[1, 1, 2]",3,78,36,"[25, 5, 50, 32]"
10788,10788.png,66,"[6, 6]",2,75,35,"[34, 2, 50, 25]"
10789,10789.png,1879,"[1, 8, 7, 9]",4,54,14,"[14, 1, 43, 12]"
10790,10790.png,32,"[3, 2]",2,98,40,"[21, 1, 76, 40]"
10791,10791.png,14,"[1, 4]",2,119,55,"[43, 10, 68, 42]"
10792,10792.png,313,"[3, 1, 3]",3,112,44,"[45, 12, 69, 32]"
10793,10793.png,6,[6],1,50,26,"[21, 3, 31, 21]"
10794,10794.png,29,"[2, 9]",2,127,52,"[43, 4, 87, 43]"
10795,10795.png,17,"[1, 7]",2,105,52,"[39, 5, 66, 45]"
10796,10796.png,63,"[6, 3]",2,417,224,"[160, 28, 253, 194]"
10797,10797.png,2,[2],1,79,42,"[30, 4, 48, 35]"
10798,10798.png,179,"[1, 7, 9]",3,182,72,"[56, 21, 116, 53]"
10799,10799.png,22,"[2, 2]",2,219,77,"[111, 10, 158, 64]"
10800,10800.png,300,"[3, 0, 0]",3,130,65,"[50, 3, 82, 55]"
10801,10801.png,46,"[4, 6]",2,53,25,"[19, 1, 35, 22]"
10802,10802.png,35,"[3, 5]",2,53,26,"[18, 3, 35, 23]"
10803,10803.png,50,"[5, 0]",2,227,93,"[82, 11, 164, 76]"
10804,10804.png,3496,"[3, 4, 9, 6]",4,174,71,"[51, 18, 109, 53]"
10805,10805.png,16,"[1, 6]",2,140,51,"[43, 9, 96, 45]"
10806,10806.png,5,[5],1,207,89,"[114, 30, 138, 78]"
10807,10807.png,5,[5],1,90,42,"[36, 5, 47, 29]"
10808,10808.png,2,[2],1,79,34,"[21, 3, 38, 31]"
10809,10809.png,89,"[8, 9]",2,49,20,"[17, 1, 32, 18]"
10810,10810.png,5,[5],1,74,36,"[28, 5, 43, 32]"
10811,10811.png,10,"[1, 0]",2,511,241,"[158, 30, 347, 220]"
10812,10812.png,66,"[6, 6]",2,139,64,"[60, 17, 82, 44]"
10813,10813.png,20,"[2, 0]",2,197,87,"[57, 14, 125, 76]"
10814,10814.png,2,[2],1,70,34,"[28, 2, 44, 29]"
10815,10815.png,8,[8],1,78,35,"[30, 5, 49, 30]"
10816,10816.png,8,[8],1,109,53,"[44, 11, 60, 38]"
10817,10817.png,212,"[2, 1, 2]",3,112,47,"[35, 4, 77, 41]"
10818,10818.png,185,"[1, 8, 5]",3,235,103,"[78, 18, 157, 84]"
10819,10819.png,43,"[4, 3]",2,153,65,"[61, 20, 89, 44]"
10820,10820.png,23,"[2, 3]",2,147,65,"[49, 11, 102, 56]"
10821,10821.png,74,"[7, 4]",2,197,90,"[72, 13, 131, 70]"
10822,10822.png,121,"[1, 2, 1]",3,447,195,"[221, 56, 289, 131]"
10823,10823.png,225,"[2, 2, 5]",3,150,69,"[50, 9, 101, 53]"
10824,10824.png,53,"[5, 3]",2,389,172,"[111, 5, 269, 154]"
10825,10825.png,158,"[1, 5, 8]",3,146,61,"[43, 1, 103, 54]"
10826,10826.png,1,[1],1,107,61,"[42, 7, 65, 44]"
10827,10827.png,21,"[2, 1]",2,74,34,"[29, 4, 46, 26]"
10828,10828.png,52,"[5, 2]",2,91,40,"[30, 2, 60, 34]"
10829,10829.png,91,"[9, 1]",2,111,47,"[40, 5, 73, 41]"
10830,10830.png,48,"[4, 8]",2,72,33,"[26, 3, 49, 29]"
10831,10831.png,188,"[1, 8, 8]",3,122,64,"[45, 14, 93, 54]"
10832,10832.png,30,"[3, 0]",2,114,55,"[41, 9, 71, 46]"
10833,10833.png,14,"[1, 4]",2,44,18,"[15, 1, 30, 17]"
10834,10834.png,161,"[1, 6, 1]",3,109,40,"[32, 9, 76, 31]"
10835,10835.png,380,"[3, 8, 0]",3,90,47,"[33, 1, 90, 45]"
10836,10836.png,46,"[4, 6]",2,61,25,"[20, 1, 43, 21]"
10837,10837.png,159,"[1, 5, 9]",3,185,75,"[71, 19, 114, 59]"
10838,10838.png,694,"[6, 9, 4]",3,157,64,"[59, 18, 97, 46]"
10839,10839.png,2267,"[2, 2, 6, 7]",4,198,54,"[74, 6, 137, 46]"
10840,10840.png,61,"[6, 1]",2,231,108,"[73, 7, 156, 103]"
10841,10841.png,89,"[8, 9]",2,30,13,"[10, 1, 23, 13]"
10842,10842.png,217,"[2, 1, 7]",3,154,63,"[54, 13, 112, 63]"
10843,10843.png,69,"[6, 9]",2,117,53,"[40, 3, 78, 45]"
10844,10844.png,4,[4],1,102,47,"[44, 3, 59, 36]"
10845,10845.png,64,"[6, 4]",2,154,68,"[53, 6, 102, 56]"
10846,10846.png,111,"[1, 1, 1]",3,205,89,"[60, 24, 118, 80]"
10847,10847.png,5,[5],1,114,59,"[47, 7, 69, 48]"
10848,10848.png,1,[1],1,46,24,"[19, 2, 26, 18]"
10849,10849.png,39,"[3, 9]",2,66,34,"[23, 4, 42, 33]"
10850,10850.png,15,"[1, 5]",2,106,63,"[40, 10, 60, 36]"
10851,10851.png,87,"[8, 7]",2,189,75,"[77, 17, 111, 54]"
10852,10852.png,151,"[1, 5, 1]",3,210,105,"[70, 11, 140, 84]"
10853,10853.png,187,"[1, 8, 7]",3,258,77,"[66, 18, 111, 64]"
10854,10854.png,89,"[8, 9]",2,96,46,"[34, 7, 59, 36]"
10855,10855.png,97,"[9, 7]",2,83,34,"[30, 6, 53, 29]"
10856,10856.png,2,[2],1,88,26,"[31, 2, 42, 24]"
10857,10857.png,26,"[2, 6]",2,190,82,"[67, 6, 135, 80]"
10858,10858.png,5,[5],1,132,54,"[56, 14, 72, 44]"
10859,10859.png,110,"[1, 1, 0]",3,80,35,"[28, 6, 52, 29]"
10860,10860.png,127,"[1, 2, 7]",3,197,82,"[78, 16, 119, 59]"
10861,10861.png,161,"[1, 6, 1]",3,75,34,"[22, 2, 55, 32]"
10862,10862.png,710,"[7, 1, 0]",3,271,83,"[161, 12, 206, 72]"
10863,10863.png,45,"[4, 5]",2,376,146,"[178, 38, 238, 115]"
10864,10864.png,57,"[5, 7]",2,39,14,"[12, 1, 28, 14]"
10865,10865.png,8,[8],1,143,74,"[58, 10, 90, 65]"
10866,10866.png,127,"[1, 2, 7]",3,104,40,"[30, 1, 73, 33]"
10867,10867.png,40,"[4, 0]",2,53,25,"[19, 4, 34, 22]"
10868,10868.png,95,"[9, 5]",2,82,39,"[28, 2, 55, 35]"
10869,10869.png,513,"[5, 1, 3]",3,78,31,"[28, 6, 54, 24]"
10870,10870.png,2249,"[2, 2, 4, 9]",4,250,76,"[63, 10, 189, 63]"
10871,10871.png,48,"[4, 8]",2,140,54,"[31, 1, 107, 56]"
10872,10872.png,65,"[6, 5]",2,213,103,"[72, 17, 144, 88]"
10873,10873.png,40,"[4, 0]",2,67,27,"[20, 1, 44, 25]"
10874,10874.png,5,[5],1,255,127,"[113, 38, 148, 90]"
10875,10875.png,24,"[2, 4]",2,64,24,"[20, 3, 46, 19]"
10876,10876.png,3,[3],1,131,62,"[44, 8, 67, 52]"
10877,10877.png,142,"[1, 4, 2]",3,119,48,"[37, 7, 83, 39]"
10878,10878.png,86,"[8, 6]",2,211,97,"[67, 4, 145, 91]"
10879,10879.png,2,[2],1,203,119,"[91, 21, 115, 91]"
10880,10880.png,2582,"[2, 5, 8, 2]",4,91,35,"[26, 3, 65, 29]"
10881,10881.png,82,"[8, 2]",2,86,35,"[24, 1, 61, 32]"
10882,10882.png,594,"[5, 9, 4]",3,84,34,"[22, 3, 61, 29]"
10883,10883.png,58,"[5, 8]",2,56,25,"[20, 2, 34, 20]"
10884,10884.png,58,"[5, 8]",2,67,31,"[24, 2, 43, 26]"
10885,10885.png,126,"[1, 2, 6]",3,227,133,"[99, 24, 202, 108]"
10886,10886.png,249,"[2, 4, 9]",3,207,104,"[44, 27, 123, 76]"
10887,10887.png,11,"[1, 1]",2,86,39,"[32, 8, 55, 35]"
10888,10888.png,302,"[3, 0, 2]",3,278,114,"[118, 22, 199, 63]"
10889,10889.png,3,[3],1,57,28,"[23, 2, 34, 24]"
10890,10890.png,1304,"[1, 3, 0, 4]",4,85,40,"[30, 6, 57, 33]"
10891,10891.png,323,"[3, 2, 3]",3,164,69,"[44, 4, 109, 62]"
10892,10892.png,8,[8],1,203,105,"[99, 55, 119, 82]"
10893,10893.png,126,"[1, 2, 6]",3,71,31,"[21, 3, 49, 25]"
10894,10894.png,48,"[4, 8]",2,85,38,"[28, 4, 58, 29]"
10895,10895.png,156,"[1, 5, 6]",3,175,62,"[58, 13, 119, 54]"
10896,10896.png,41,"[4, 1]",2,160,83,"[63, 10, 100, 72]"
10897,10897.png,11,"[1, 1]",2,147,73,"[57, 17, 83, 56]"
10898,10898.png,84,"[8, 4]",2,188,78,"[69, 17, 117, 60]"
10899,10899.png,106,"[1, 0, 6]",3,93,41,"[34, 3, 60, 33]"
10900,10900.png,17,"[1, 7]",2,209,101,"[80, 21, 138, 85]"
10901,10901.png,21,"[2, 1]",2,74,34,"[28, 5, 47, 25]"
10902,10902.png,11,"[1, 1]",2,65,35,"[27, 5, 41, 34]"
10903,10903.png,15,"[1, 5]",2,61,26,"[20, 1, 41, 21]"
10904,10904.png,27,"[2, 7]",2,88,41,"[34, 5, 57, 36]"
10905,10905.png,47,"[4, 7]",2,74,28,"[22, 3, 50, 24]"
10906,10906.png,12,"[1, 2]",2,74,28,"[23, 2, 50, 24]"
10907,10907.png,54,"[5, 4]",2,57,24,"[17, 1, 40, 23]"
10908,10908.png,8,[8],1,245,119,"[99, 17, 147, 97]"
10909,10909.png,20,"[2, 0]",2,64,28,"[23, 4, 39, 23]"
10910,10910.png,24,"[2, 4]",2,171,78,"[55, 12, 123, 68]"
10911,10911.png,42,"[4, 2]",2,59,28,"[20, 5, 40, 24]"
10912,10912.png,49,"[4, 9]",2,97,47,"[36, 5, 64, 38]"
10913,10913.png,637,"[6, 3, 7]",3,87,33,"[24, 3, 59, 28]"
10914,10914.png,9,[9],1,131,69,"[58, 10, 75, 52]"
10915,10915.png,263,"[2, 6, 3]",3,127,48,"[38, 9, 85, 36]"
10916,10916.png,4,[4],1,62,32,"[25, 7, 36, 24]"
10917,10917.png,17,"[1, 7]",2,117,57,"[48, 10, 72, 47]"
10918,10918.png,37,"[3, 7]",2,60,26,"[23, 4, 34, 20]"
10919,10919.png,10,"[1, 0]",2,96,38,"[25, 4, 68, 32]"
10920,10920.png,54,"[5, 4]",2,147,67,"[51, 4, 105, 60]"
10921,10921.png,51,"[5, 1]",2,63,27,"[21, 1, 41, 27]"
10922,10922.png,395,"[3, 9, 5]",3,73,30,"[24, 2, 49, 23]"
10923,10923.png,10,"[1, 0]",2,49,24,"[18, 4, 30, 21]"
10924,10924.png,25,"[2, 5]",2,102,41,"[28, 1, 74, 39]"
10925,10925.png,20,"[2, 0]",2,74,34,"[28, 4, 48, 29]"
10926,10926.png,77,"[7, 7]",2,67,31,"[24, 6, 39, 24]"
10927,10927.png,2,[2],1,49,20,"[16, 3, 23, 18]"
10928,10928.png,53,"[5, 3]",2,190,84,"[64, 1, 117, 78]"
10929,10929.png,14,"[1, 4]",2,44,20,"[15, 1, 29, 18]"
10930,10930.png,41,"[4, 1]",2,63,29,"[25, 6, 40, 24]"
10931,10931.png,404,"[4, 0, 4]",3,327,107,"[121, 16, 243, 89]"
10932,10932.png,209,"[2, 0, 9]",3,128,51,"[41, 7, 87, 45]"
10933,10933.png,31,"[3, 1]",2,55,25,"[21, 4, 34, 22]"
10934,10934.png,3,[3],1,49,24,"[19, 1, 31, 20]"
10935,10935.png,3,[3],1,200,93,"[63, 38, 90, 96]"
10936,10936.png,447,"[4, 4, 7]",3,247,132,"[111, 80, 146, 104]"
10937,10937.png,84,"[8, 4]",2,83,38,"[32, 4, 56, 29]"
10938,10938.png,332,"[3, 3, 2]",3,236,125,"[90, 14, 178, 105]"
10939,10939.png,640,"[6, 4, 0]",3,34,12,"[10, 1, 25, 12]"
10940,10940.png,338,"[3, 3, 8]",3,78,34,"[22, 3, 54, 28]"
10941,10941.png,1,[1],1,136,63,"[54, 9, 83, 51]"
10942,10942.png,156,"[1, 5, 6]",3,201,78,"[64, 15, 134, 63]"
10943,10943.png,24,"[2, 4]",2,86,38,"[28, 5, 55, 31]"
10944,10944.png,101,"[1, 0, 1]",3,86,38,"[32, 6, 53, 29]"
10945,10945.png,270,"[2, 7, 0]",3,241,70,"[50, 4, 193, 65]"
10946,10946.png,84,"[8, 4]",2,82,35,"[29, 4, 56, 30]"
10947,10947.png,290,"[2, 9, 0]",3,97,41,"[34, 8, 61, 32]"
10948,10948.png,484,"[4, 8, 4]",3,104,43,"[36, 10, 67, 34]"
10949,10949.png,8,[8],1,40,22,"[17, 3, 25, 19]"
10950,10950.png,1252,"[1, 2, 5, 2]",4,87,22,"[18, 3, 69, 18]"
10951,10951.png,6,[6],1,65,34,"[26, 6, 41, 29]"
10952,10952.png,21,"[2, 1]",2,45,23,"[17, 3, 28, 21]"
10953,10953.png,140,"[1, 4, 0]",3,311,86,"[164, 23, 240, 70]"
10954,10954.png,3,[3],1,70,36,"[27, 4, 45, 30]"
10955,10955.png,2478,"[2, 4, 7, 8]",4,58,19,"[15, 1, 43, 15]"
10956,10956.png,122,"[1, 2, 2]",3,117,48,"[34, 1, 82, 42]"
10957,10957.png,6,[6],1,87,45,"[36, 4, 51, 34]"
10958,10958.png,8,[8],1,162,74,"[63, 11, 83, 56]"
10959,10959.png,540,"[5, 4, 0]",3,75,35,"[23, 1, 50, 29]"
10960,10960.png,63,"[6, 3]",2,54,25,"[20, 1, 34, 20]"
10961,10961.png,416,"[4, 1, 6]",3,84,38,"[29, 3, 58, 32]"
10962,10962.png,4,[4],1,65,35,"[26, 4, 37, 32]"
10963,10963.png,85,"[8, 5]",2,194,77,"[54, 15, 120, 66]"
10964,10964.png,6,[6],1,192,98,"[72, 14, 117, 82]"
10965,10965.png,447,"[4, 4, 7]",3,302,140,"[100, 12, 196, 124]"
10966,10966.png,96,"[9, 6]",2,113,47,"[39, 5, 74, 39]"
10967,10967.png,12,"[1, 2]",2,81,36,"[27, 2, 53, 34]"
10968,10968.png,88,"[8, 8]",2,75,34,"[28, 5, 46, 30]"
10969,10969.png,5,[5],1,136,71,"[55, 12, 87, 61]"
10970,10970.png,255,"[2, 5, 5]",3,73,28,"[21, 1, 54, 27]"
10971,10971.png,7,[7],1,89,41,"[46, 5, 61, 37]"
10972,10972.png,228,"[2, 2, 8]",3,405,124,"[145, 25, 216, 88]"
10973,10973.png,1263,"[1, 2, 6, 3]",4,61,19,"[13, 3, 46, 16]"
10974,10974.png,34,"[3, 4]",2,204,84,"[65, 11, 102, 67]"
10975,10975.png,129,"[1, 2, 9]",3,383,175,"[165, 22, 214, 53]"
10976,10976.png,117,"[1, 1, 7]",3,413,140,"[115, 45, 155, 75]"
10977,10977.png,41,"[4, 1]",2,35,14,"[13, 1, 24, 13]"
10978,10978.png,338,"[3, 3, 8]",3,121,55,"[39, 5, 78, 49]"
10979,10979.png,35,"[3, 5]",2,56,24,"[15, 1, 39, 22]"
10980,10980.png,52,"[5, 2]",2,271,112,"[97, 15, 161, 77]"
10981,10981.png,75,"[7, 5]",2,69,35,"[26, 9, 39, 29]"
10982,10982.png,78,"[7, 8]",2,74,35,"[27, 4, 49, 29]"
10983,10983.png,39,"[3, 9]",2,159,73,"[53, 10, 108, 58]"
10984,10984.png,2474,"[2, 4, 7, 4]",4,72,29,"[22, 7, 48, 23]"
10985,10985.png,9,[9],1,86,45,"[33, 5, 52, 40]"
10986,10986.png,47,"[4, 7]",2,54,26,"[20, 5, 32, 21]"
10987,10987.png,19,"[1, 9]",2,213,110,"[73, 9, 136, 101]"
10988,10988.png,229,"[2, 2, 9]",3,184,69,"[50, 10, 134, 60]"
10989,10989.png,6,[6],1,153,75,"[59, 10, 95, 58]"
10990,10990.png,72,"[7, 2]",2,59,28,"[23, 7, 35, 24]"
10991,10991.png,30,"[3, 0]",2,121,62,"[46, 13, 81, 51]"
10992,10992.png,109,"[1, 0, 9]",3,303,125,"[65, 1, 203, 113]"
10993,10993.png,19,"[1, 9]",2,85,35,"[29, 4, 56, 27]"
10994,10994.png,23,"[2, 3]",2,86,35,"[30, 3, 58, 30]"
10995,10995.png,96,"[9, 6]",2,182,89,"[64, 3, 117, 79]"
10996,10996.png,24,"[2, 4]",2,71,31,"[21, 4, 48, 27]"
10997,10997.png,26,"[2, 6]",2,89,39,"[29, 4, 59, 32]"
10998,10998.png,383,"[3, 8, 3]",3,75,35,"[26, 5, 48, 26]"
10999,10999.png,9,[9],1,160,62,"[72, 8, 88, 51]"
11000,11000.png,296,"[2, 9, 6]",3,153,55,"[44, 5, 113, 45]"
11001,11001.png,9,"[0, 9]",2,241,108,"[102, 23, 162, 89]"
11002,11002.png,24,"[2, 4]",2,97,48,"[38, 7, 63, 38]"
11003,11003.png,122,"[1, 2, 2]",3,82,35,"[28, 4, 55, 28]"
11004,11004.png,108,"[1, 0, 8]",3,448,191,"[136, 27, 242, 152]"
11005,11005.png,3,[3],1,91,49,"[36, 8, 55, 41]"
11006,11006.png,127,"[1, 2, 7]",3,195,90,"[29, 1, 139, 92]"
11007,11007.png,7,[7],1,269,133,"[117, 44, 148, 92]"
11008,11008.png,87,"[8, 7]",2,66,32,"[23, 2, 43, 27]"
11009,11009.png,4,[4],1,80,41,"[33, 7, 56, 33]"
11010,11010.png,40,"[4, 0]",2,95,43,"[37, 10, 58, 32]"
11011,11011.png,3,[3],1,154,66,"[50, 1, 78, 54]"
11012,11012.png,1124,"[1, 1, 2, 4]",4,83,28,"[21, 6, 60, 25]"
11013,11013.png,6,[6],1,108,62,"[33, 9, 57, 55]"
11014,11014.png,1,[1],1,137,55,"[43, 16, 52, 39]"
11015,11015.png,18,"[1, 8]",2,74,34,"[26, 3, 47, 32]"
11016,11016.png,110,"[1, 1, 0]",3,100,49,"[34, 5, 62, 39]"
11017,11017.png,52,"[5, 2]",2,344,135,"[142, 37, 205, 98]"
11018,11018.png,120,"[1, 2, 0]",3,77,34,"[27, 3, 50, 30]"
11019,11019.png,37,"[3, 7]",2,87,47,"[29, 2, 55, 47]"
11020,11020.png,22,"[2, 2]",2,98,42,"[30, 4, 65, 35]"
11021,11021.png,41,"[4, 1]",2,61,27,"[25, 6, 36, 22]"
11022,11022.png,1519,"[1, 5, 1, 9]",4,49,13,"[10, 1, 38, 13]"
11023,11023.png,682,"[6, 8, 2]",3,435,169,"[164, 51, 283, 122]"
11024,11024.png,14,"[1, 4]",2,99,47,"[32, 7, 64, 40]"
11025,11025.png,33,"[3, 3]",2,85,40,"[30, 2, 56, 37]"
11026,11026.png,37,"[3, 7]",2,138,70,"[55, 15, 85, 58]"
11027,11027.png,5,[5],1,78,42,"[33, 7, 47, 35]"
11028,11028.png,346,"[3, 4, 6]",3,432,257,"[312, 131, 419, 207]"
11029,11029.png,193,"[1, 9, 3]",3,143,48,"[39, 4, 107, 41]"
11030,11030.png,110,"[1, 1, 0]",3,200,76,"[65, 17, 137, 58]"
11031,11031.png,11,"[1, 1]",2,335,153,"[99, 25, 228, 126]"
11032,11032.png,166,"[1, 6, 6]",3,75,31,"[24, 4, 51, 24]"
11033,11033.png,20,"[2, 0]",2,89,45,"[31, 2, 58, 42]"
11034,11034.png,2,[2],1,141,70,"[57, 10, 84, 55]"
11035,11035.png,45,"[4, 5]",2,120,54,"[38, 2, 85, 51]"
11036,11036.png,66,"[6, 6]",2,81,40,"[28, 5, 52, 34]"
11037,11037.png,4,[4],1,110,52,"[43, 10, 64, 45]"
11038,11038.png,41,"[4, 1]",2,84,34,"[34, 5, 51, 27]"
11039,11039.png,17,"[1, 7]",2,45,20,"[16, 1, 28, 16]"
11040,11040.png,77,"[7, 7]",2,192,86,"[72, 11, 123, 72]"
11041,11041.png,1,[1],1,177,96,"[74, 17, 103, 80]"
11042,11042.png,2,[2],1,64,35,"[28, 6, 38, 27]"
11043,11043.png,26,"[2, 6]",2,56,24,"[18, 2, 38, 22]"
11044,11044.png,383,"[3, 8, 3]",3,150,65,"[41, 3, 102, 62]"
11045,11045.png,24,"[2, 4]",2,97,40,"[32, 4, 63, 35]"
11046,11046.png,112,"[1, 1, 2]",3,96,42,"[32, 9, 63, 28]"
11047,11047.png,523,"[5, 2, 3]",3,188,119,"[94, 19, 168, 99]"
11048,11048.png,62,"[6, 2]",2,269,114,"[100, 24, 172, 94]"
11049,11049.png,194,"[1, 9, 4]",3,171,68,"[62, 13, 104, 52]"
11050,11050.png,63,"[6, 3]",2,145,63,"[45, 1, 96, 59]"
11051,11051.png,19,"[1, 9]",2,657,293,"[209, 40, 419, 256]"
11052,11052.png,19,"[1, 9]",2,52,20,"[18, 1, 35, 18]"
11053,11053.png,1,[1],1,94,52,"[37, 7, 57, 45]"
11054,11054.png,41,"[4, 1]",2,40,18,"[15, 2, 26, 17]"
11055,11055.png,871,"[8, 7, 1]",3,169,71,"[69, 24, 103, 49]"
11056,11056.png,3,[3],1,147,75,"[48, 5, 96, 72]"
11057,11057.png,2367,"[2, 3, 6, 7]",4,125,50,"[31, 16, 86, 45]"
11058,11058.png,1,[1],1,107,61,"[48, 4, 61, 52]"
11059,11059.png,41,"[4, 1]",2,75,34,"[27, 1, 47, 27]"
11060,11060.png,54,"[5, 4]",2,106,49,"[38, 7, 62, 41]"
11061,11061.png,80,"[8, 0]",2,62,28,"[19, 3, 44, 26]"
11062,11062.png,33,"[3, 3]",2,79,35,"[27, 4, 53, 31]"
11063,11063.png,10,"[1, 0]",2,229,89,"[76, 40, 101, 74]"
11064,11064.png,11,"[1, 1]",2,85,41,"[31, 3, 54, 36]"
11065,11065.png,43,"[4, 3]",2,242,103,"[73, 6, 171, 100]"
11066,11066.png,7,[7],1,93,47,"[47, 5, 53, 35]"
11067,11067.png,5,[5],1,75,39,"[32, 6, 44, 32]"
11068,11068.png,22,"[2, 2]",2,97,43,"[32, 8, 61, 36]"
11069,11069.png,21,"[2, 1]",2,55,29,"[5, 6, 27, 29]"
11070,11070.png,37,"[3, 7]",2,178,70,"[50, 2, 124, 69]"
11071,11071.png,2,[2],1,114,63,"[39, 5, 65, 49]"
11072,11072.png,35,"[3, 5]",2,144,71,"[48, 11, 100, 65]"
11073,11073.png,6,[6],1,46,21,"[18, 2, 28, 17]"
11074,11074.png,12,"[1, 2]",2,94,47,"[32, 4, 62, 43]"
11075,11075.png,282,"[2, 8, 2]",3,164,62,"[47, 10, 118, 55]"
11076,11076.png,8,[8],1,54,30,"[22, 7, 29, 24]"
11077,11077.png,3,[3],1,140,62,"[62, 1, 92, 52]"
11078,11078.png,2515,"[2, 5, 1, 5]",4,64,19,"[16, 2, 46, 15]"
11079,11079.png,920,"[9, 2, 0]",3,418,161,"[177, 18, 298, 103]"
11080,11080.png,57,"[5, 7]",2,77,35,"[23, 1, 53, 34]"
11081,11081.png,8,[8],1,48,26,"[18, 1, 29, 23]"
11082,11082.png,2218,"[2, 2, 1, 8]",4,63,22,"[16, 1, 49, 20]"
11083,11083.png,21,"[2, 1]",2,35,14,"[12, 1, 23, 13]"
11084,11084.png,60,"[6, 0]",2,63,30,"[21, 3, 41, 26]"
11085,11085.png,25,"[2, 5]",2,48,20,"[19, 3, 29, 16]"
11086,11086.png,65,"[6, 5]",2,120,59,"[40, 1, 79, 54]"
11087,11087.png,10,"[1, 0]",2,92,43,"[32, 8, 60, 37]"
11088,11088.png,326,"[3, 2, 6]",3,121,43,"[46, 9, 82, 33]"
11089,11089.png,1008,"[1, 0, 0, 8]",4,147,57,"[51, 14, 99, 48]"
11090,11090.png,54,"[5, 4]",2,54,26,"[20, 3, 32, 23]"
11091,11091.png,111,"[1, 1, 1]",3,75,35,"[26, 2, 46, 29]"
11092,11092.png,252,"[2, 5, 2]",3,201,91,"[66, 10, 141, 73]"
11093,11093.png,12,"[1, 2]",2,143,66,"[49, 7, 98, 59]"
11094,11094.png,2,[2],1,72,35,"[27, 1, 46, 33]"
11095,11095.png,2167,"[2, 1, 6, 7]",4,62,23,"[17, 3, 45, 19]"
11096,11096.png,58,"[5, 8]",2,122,53,"[36, 4, 84, 48]"
11097,11097.png,192,"[1, 9, 2]",3,373,138,"[111, 31, 186, 94]"
11098,11098.png,162,"[1, 6, 2]",3,110,47,"[32, 1, 83, 45]"
11099,11099.png,9,[9],1,270,124,"[149, 24, 179, 75]"
11100,11100.png,9,[9],1,84,42,"[35, 5, 46, 31]"
11101,11101.png,18,"[1, 8]",2,72,38,"[27, 3, 44, 32]"
11102,11102.png,24,"[2, 4]",2,79,31,"[23, 3, 56, 26]"
11103,11103.png,8,[8],1,62,31,"[23, 2, 38, 27]"
11104,11104.png,130,"[1, 3, 0]",3,172,71,"[59, 34, 94, 60]"
11105,11105.png,17,"[1, 7]",2,62,33,"[24, 8, 34, 28]"
11106,11106.png,52,"[5, 2]",2,149,73,"[65, 22, 87, 54]"
11107,11107.png,256,"[2, 5, 6]",3,170,82,"[69, 6, 98, 58]"
11108,11108.png,28,"[2, 8]",2,77,35,"[27, 4, 50, 30]"
11109,11109.png,66,"[6, 6]",2,65,27,"[21, 4, 44, 23]"
11110,11110.png,57,"[5, 7]",2,67,28,"[18, 3, 45, 26]"
11111,11111.png,5,[5],1,113,61,"[44, 8, 68, 49]"
11112,11112.png,174,"[1, 7, 4]",3,204,93,"[67, 22, 116, 78]"
11113,11113.png,48,"[4, 8]",2,121,53,"[41, 10, 80, 44]"
11114,11114.png,45,"[4, 5]",2,129,60,"[48, 12, 79, 44]"
11115,11115.png,49,"[4, 9]",2,103,49,"[34, 4, 71, 44]"
11116,11116.png,8,[8],1,60,28,"[22, 2, 41, 25]"
